Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
DBL Powell (WI),4,7,4,0,0,100,1,v New Zealand,Napier,13-Jan-09
BP Nash (WI),1*,4,1,0,0,100,1,v New Zealand,Napier,13-Jan-09
FH Edwards (WI),1,3,4,0,0,25,1,v New Zealand,Napier,13-Jan-09
LS Baker (WI),DNB,-,-,-,-,-,1,v New Zealand,Napier,13-Jan-09
JD Ryder (NZ),21,29,23,2,1,91.3,2,v West Indies,Napier,13-Jan-09
BB McCullum (NZ),41,56,28,6,1,146.42,2,v West Indies,Napier,13-Jan-09
MJ Guptill (NZ),43,60,39,4,1,110.25,2,v West Indies,Napier,13-Jan-09
LRPL Taylor (NZ),48*,107,71,3,0,67.6,2,v West Indies,Napier,13-Jan-09
DR Flynn (NZ),21,35,34,2,0,61.76,2,v West Indies,Napier,13-Jan-09
NT Broom (NZ),0,1,1,0,0,0,2,v West Indies,Napier,13-Jan-09
GD Elliott (NZ),14*,33,17,0,0,82.35,2,v West Indies,Napier,13-Jan-09
TG Southee (NZ),DNB,-,-,-,-,-,2,v West Indies,Napier,13-Jan-09
MR Gillespie (NZ),DNB,-,-,-,-,-,2,v West Indies,Napier,13-Jan-09
KD Mills (NZ),DNB,-,-,-,-,-,2,v West Indies,Napier,13-Jan-09
DL Vettori (NZ),DNB,-,-,-,-,-,2,v West Indies,Napier,13-Jan-09
WU Tharanga (SL),0,-,3,0,0,0,1,v Bangladesh,Dhaka,14-Jan-09
ST Jayasuriya (SL),54,-,64,7,0,84.37,1,v Bangladesh,Dhaka,14-Jan-09
KC Sangakkara (SL),0,-,5,0,0,0,1,v Bangladesh,Dhaka,14-Jan-09
DPMD Jayawardene (SL),28,-,44,0,0,63.63,1,v Bangladesh,Dhaka,14-Jan-09
CK Kapugedera (SL),28,-,30,2,1,93.33,1,v Bangladesh,Dhaka,14-Jan-09
J Mubarak (SL),10,-,14,0,0,71.42,1,v Bangladesh,Dhaka,14-Jan-09
AD Mathews (SL),2,-,5,0,0,40,1,v Bangladesh,Dhaka,14-Jan-09
T Thushara (SL),0,-,5,0,0,0,1,v Bangladesh,Dhaka,14-Jan-09
KMDN Kulasekara (SL),5,-,5,1,0,100,1,v Bangladesh,Dhaka,14-Jan-09
M Muralitharan (SL),6*,-,8,1,0,75,1,v Bangladesh,Dhaka,14-Jan-09
BAW Mendis (SL),0,-,1,0,0,0,1,v Bangladesh,Dhaka,14-Jan-09
Tamim Iqbal (BDESH),9,-,13,2,0,69.23,2,v Sri Lanka,Dhaka,14-Jan-09
Junaid Siddique (BDESH),0,-,0,0,0,-,2,v Sri Lanka,Dhaka,14-Jan-09
Mushfiqur Rahim (BDESH),1,-,8,0,0,12.5,2,v Sri Lanka,Dhaka,14-Jan-09
Mohammad Ashraful (BDESH),26,-,41,1,0,63.41,2,v Sri Lanka,Dhaka,14-Jan-09
Shakib Al Hasan (BDESH),92*,-,69,10,2,133.33,2,v Sri Lanka,Dhaka,14-Jan-09
Raqibul Hasan (BDESH),3,-,6,0,0,50,2,v Sri Lanka,Dhaka,14-Jan-09
Naeem Islam (BDESH),12*,-,6,1,1,200,2,v Sri Lanka,Dhaka,14-Jan-09
Mahbubul Alam (BDESH),DNB,-,-,-,-,-,2,v Sri Lanka,Dhaka,14-Jan-09
Rubel Hossain (BDESH),DNB,-,-,-,-,-,2,v Sri Lanka,Dhaka,14-Jan-09
Mashrafe Mortaza (BDESH),DNB,-,-,-,-,-,2,v Sri Lanka,Dhaka,14-Jan-09
Mahmudullah (BDESH),DNB,-,-,-,-,-,2,v Sri Lanka,Dhaka,14-Jan-09
Tamim Iqbal (BDESH),18,64,42,4,0,42.85,1,v Sri Lanka,Dhaka,16-Jan-09
Junaid Siddique (BDESH),1,11,5,0,0,20,1,v Sri Lanka,Dhaka,16-Jan-09
Mushfiqur Rahim (BDESH),4,8,8,1,0,50,1,v Sri Lanka,Dhaka,16-Jan-09
Mohammad Ashraful (BDESH),13,30,25,2,0,52,1,v Sri Lanka,Dhaka,16-Jan-09
Shakib Al Hasan (BDESH),9,37,16,2,0,56.25,1,v Sri Lanka,Dhaka,16-Jan-09
Raqibul Hasan (BDESH),43*,127,107,1,0,40.18,1,v Sri Lanka,Dhaka,16-Jan-09
Mahmudullah (BDESH),26,46,36,2,1,72.22,1,v Sri Lanka,Dhaka,16-Jan-09
Naeem Islam (BDESH),21,46,50,2,0,42,1,v Sri Lanka,Dhaka,16-Jan-09
Mashrafe Mortaza (BDESH),0,2,2,0,0,0,1,v Sri Lanka,Dhaka,16-Jan-09
Nazmul Hossain (BDESH),0,1,2,0,0,0,1,v Sri Lanka,Dhaka,16-Jan-09
Rubel Hossain (BDESH),0,3,6,0,0,0,1,v Sri Lanka,Dhaka,16-Jan-09
WU Tharanga (SL),2,25,16,0,0,12.5,2,v Bangladesh,Dhaka,16-Jan-09
ST Jayasuriya (SL),0,1,0,0,0,-,2,v Bangladesh,Dhaka,16-Jan-09
KC Sangakkara (SL),59,189,133,6,0,44.36,2,v Bangladesh,Dhaka,16-Jan-09
DPMD Jayawardene (SL),0,1,2,0,0,0,2,v Bangladesh,Dhaka,16-Jan-09
CK Kapugedera (SL),1,4,3,0,0,33.33,2,v Bangladesh,Dhaka,16-Jan-09
T Thushara (SL),1,8,9,0,0,11.11,2,v Bangladesh,Dhaka,16-Jan-09
J Mubarak (SL),16,65,32,2,0,50,2,v Bangladesh,Dhaka,16-Jan-09
MF Maharoof (SL),38*,106,76,0,2,50,2,v Bangladesh,Dhaka,16-Jan-09
KMDN Kulasekara (SL),0,1,2,0,0,0,2,v Bangladesh,Dhaka,16-Jan-09
M Muralitharan (SL),33*,21,16,4,2,206.25,2,v Bangladesh,Dhaka,16-Jan-09
BAW Mendis (SL),DNB,-,-,-,-,-,2,v Bangladesh,Dhaka,16-Jan-09
SE Marsh (AUS),79,148,97,4,1,81.44,1,v South Africa,Melbourne,16-Jan-09
MEK Hussey (AUS),6,9,11,1,0,54.54,1,v South Africa,Melbourne,16-Jan-09
RT Ponting (AUS),46,71,54,5,0,85.18,1,v South Africa,Melbourne,16-Jan-09
MJ Clarke (AUS),19,39,38,1,0,50,1,v South Africa,Melbourne,16-Jan-09
DJ Hussey (AUS),52,63,50,5,0,104,1,v South Africa,Melbourne,16-Jan-09
CL White (AUS),21,31,24,2,0,87.5,1,v South Africa,Melbourne,16-Jan-09
BJ Haddin (AUS),19,19,12,2,0,158.33,1,v South Africa,Melbourne,16-Jan-09
JR Hopes (AUS),2,9,4,0,0,50,1,v South Africa,Melbourne,16-Jan-09
NW Bracken (AUS),12*,10,8,1,0,150,1,v South Africa,Melbourne,16-Jan-09
BW Hilfenhaus (AUS),1*,5,2,0,0,50,1,v South Africa,Melbourne,16-Jan-09
SW Tait (AUS),DNB,-,-,-,-,-,1,v South Africa,Melbourne,16-Jan-09
HH Gibbs (SA),22,32,28,3,0,78.57,2,v Australia,Melbourne,16-Jan-09
HM Amla (SA),1,4,3,0,0,33.33,2,v Australia,Melbourne,16-Jan-09
JH Kallis (SA),41,70,49,4,0,83.67,2,v Australia,Melbourne,16-Jan-09
JP Duminy (SA),71,131,93,0,0,76.34,2,v Australia,Melbourne,16-Jan-09
ND McKenzie (SA),63,105,80,6,0,78.75,2,v Australia,Melbourne,16-Jan-09
MV Boucher (SA),0,4,1,0,0,0,2,v Australia,Melbourne,16-Jan-09
VB van Jaarsveld (SA),4,7,7,0,0,57.14,2,v Australia,Melbourne,16-Jan-09
JA Morkel (SA),40*,38,18,4,1,222.22,2,v Australia,Melbourne,16-Jan-09
J Botha (SA),12*,33,18,1,0,66.66,2,v Australia,Melbourne,16-Jan-09
DW Steyn (SA),DNB,-,-,-,-,-,2,v Australia,Melbourne,16-Jan-09
M Morkel (SA),DNB,-,-,-,-,-,2,v Australia,Melbourne,16-Jan-09
SE Marsh (AUS),78,137,103,9,0,75.72,1,v South Africa,Hobart,18-Jan-09
DA Warner (AUS),5,17,7,1,0,71.42,1,v South Africa,Hobart,18-Jan-09
RT Ponting (AUS),64,106,72,7,0,88.88,1,v South Africa,Hobart,18-Jan-09
MEK Hussey (AUS),28,39,34,2,0,82.35,1,v South Africa,Hobart,18-Jan-09
DJ Hussey (AUS),19,51,30,1,0,63.33,1,v South Africa,Hobart,18-Jan-09
CL White (AUS),1,6,5,0,0,20,1,v South Africa,Hobart,18-Jan-09
BJ Haddin (AUS),23,51,26,1,0,88.46,1,v South Africa,Hobart,18-Jan-09
JR Hopes (AUS),8,11,13,0,0,61.53,1,v South Africa,Hobart,18-Jan-09
RJ Harris (AUS),7,13,10,0,0,70,1,v South Africa,Hobart,18-Jan-09
NW Bracken (AUS),0*,1,0,0,0,-,1,v South Africa,Hobart,18-Jan-09
BW Hilfenhaus (AUS),DNB,-,-,-,-,-,1,v South Africa,Hobart,18-Jan-09
HH Gibbs (SA),19,55,37,1,0,51.35,2,v Australia,Hobart,18-Jan-09
HM Amla (SA),8,22,19,0,0,42.1,2,v Australia,Hobart,18-Jan-09
JH Kallis (SA),72,102,96,5,0,75,2,v Australia,Hobart,18-Jan-09
AB de Villiers (SA),44,78,62,2,0,70.96,2,v Australia,Hobart,18-Jan-09
JP Duminy (SA),35,57,34,3,0,102.94,2,v Australia,Hobart,18-Jan-09
ND McKenzie (SA),8,20,15,0,0,53.33,2,v Australia,Hobart,18-Jan-09
MV Boucher (SA),37*,49,32,2,1,115.62,2,v Australia,Hobart,18-Jan-09
JA Morkel (SA),11*,22,5,2,0,220,2,v Australia,Hobart,18-Jan-09
J Botha (SA),DNB,-,-,-,-,-,2,v Australia,Hobart,18-Jan-09
DW Steyn (SA),DNB,-,-,-,-,-,2,v Australia,Hobart,18-Jan-09
M Ntini (SA),DNB,-,-,-,-,-,2,v Australia,Hobart,18-Jan-09
Tamim Iqbal (BDESH),13,84,54,2,0,24.07,1,v Zimbabwe,Dhaka,19-Jan-09
Junaid Siddique (BDESH),3,29,24,0,0,12.5,1,v Zimbabwe,Dhaka,19-Jan-09
Mohammad Ashraful (BDESH),4,26,18,0,0,22.22,1,v Zimbabwe,Dhaka,19-Jan-09
Raqibul Hasan (BDESH),28,55,33,6,0,84.84,1,v Zimbabwe,Dhaka,19-Jan-09
Shakib Al Hasan (BDESH),15,31,21,0,1,71.42,1,v Zimbabwe,Dhaka,19-Jan-09
Mushfiqur Rahim (BDESH),22,54,38,3,0,57.89,1,v Zimbabwe,Dhaka,19-Jan-09
Mahmudullah (BDESH),14,43,41,1,0,34.14,1,v Zimbabwe,Dhaka,19-Jan-09
Naeem Islam (BDESH),15,33,32,1,0,46.87,1,v Zimbabwe,Dhaka,19-Jan-09
Mashrafe Mortaza (BDESH),5,14,17,1,0,29.41,1,v Zimbabwe,Dhaka,19-Jan-09
Nazmul Hossain (BDESH),0,9,9,0,0,0,1,v Zimbabwe,Dhaka,19-Jan-09
Rubel Hossain (BDESH),0*,2,2,0,0,0,1,v Zimbabwe,Dhaka,19-Jan-09
H Masakadza (ZIM),2,11,12,0,0,16.66,2,v Bangladesh,Dhaka,19-Jan-09
T Taibu (ZIM),14,33,16,2,0,87.5,2,v Bangladesh,Dhaka,19-Jan-09
S Matsikenyeri (ZIM),7,25,14,1,0,50,2,v Bangladesh,Dhaka,19-Jan-09
SC Williams (ZIM),8,32,18,1,0,44.44,2,v Bangladesh,Dhaka,19-Jan-09
E Chigumbura (ZIM),0,37,27,0,0,0,2,v Bangladesh,Dhaka,19-Jan-09
MN Waller (ZIM),24,64,48,4,0,50,2,v Bangladesh,Dhaka,19-Jan-09
KM Dabengwa (ZIM),1,19,16,0,0,6.25,2,v Bangladesh,Dhaka,19-Jan-09
P Utseya (ZIM),21,76,75,1,0,28,2,v Bangladesh,Dhaka,19-Jan-09
RW Price (ZIM),23*,80,52,2,0,44.23,2,v Bangladesh,Dhaka,19-Jan-09
T Mupariwa (ZIM),10*,38,22,0,0,45.45,2,v Bangladesh,Dhaka,19-Jan-09
EC Rainsford (ZIM),DNB,-,-,-,-,-,2,v Bangladesh,Dhaka,19-Jan-09
TM Dilshan (SL),42,45,33,7,0,127.27,1,v Pakistan,Karachi,20-Jan-09
ST Jayasuriya (SL),38,64,35,6,0,108.57,1,v Pakistan,Karachi,20-Jan-09
KC Sangakkara (SL),49,110,70,4,0,70,1,v Pakistan,Karachi,20-Jan-09
DPMD Jayawardene (SL),1,6,3,0,0,33.33,1,v Pakistan,Karachi,20-Jan-09
CK Kapugedera (SL),27,53,43,2,0,62.79,1,v Pakistan,Karachi,20-Jan-09
J Mubarak (SL),8,21,16,0,0,50,1,v Pakistan,Karachi,20-Jan-09
MF Maharoof (SL),11,43,30,0,0,36.66,1,v Pakistan,Karachi,20-Jan-09
T Thushara (SL),0,1,1,0,0,0,1,v Pakistan,Karachi,20-Jan-09
KMDN Kulasekara (SL),24,35,33,1,0,72.72,1,v Pakistan,Karachi,20-Jan-09
M Muralitharan (SL),7*,10,7,1,0,100,1,v Pakistan,Karachi,20-Jan-09
BAW Mendis (SL),1,7,3,0,0,33.33,1,v Pakistan,Karachi,20-Jan-09
Khurram Manzoor (PAK),83,146,128,9,0,64.84,2,v Sri Lanka,Karachi,20-Jan-09
Salman Butt (PAK),100*,183,117,13,0,85.47,2,v Sri Lanka,Karachi,20-Jan-09
Younis Khan (PAK),20,24,22,3,0,90.9,2,v Sri Lanka,Karachi,20-Jan-09
Shoaib Malik (PAK),11*,11,10,1,0,110,2,v Sri Lanka,Karachi,20-Jan-09
Iftikhar Anjum (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20-Jan-09
Shahid Afridi (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20-Jan-09
Misbah-ul-Haq (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20-Jan-09
Kamran Akmal (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20-Jan-09
Sohail Tanvir (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20-Jan-09
Shoaib Akhtar (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20-Jan-09
Umar Gul (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Karachi,20-Jan-09
V Sibanda (ZIM),7,54,39,0,0,17.94,1,v Bangladesh,Dhaka,21-Jan-09
H Masakadza (ZIM),17,45,27,3,0,62.96,1,v Bangladesh,Dhaka,21-Jan-09
S Matsikenyeri (ZIM),10,35,20,1,0,50,1,v Bangladesh,Dhaka,21-Jan-09
T Taibu (ZIM),3,14,8,0,0,37.5,1,v Bangladesh,Dhaka,21-Jan-09
SC Williams (ZIM),59,130,89,3,1,66.29,1,v Bangladesh,Dhaka,21-Jan-09
E Chigumbura (ZIM),1,6,4,0,0,25,1,v Bangladesh,Dhaka,21-Jan-09
MN Waller (ZIM),1,7,7,0,0,14.28,1,v Bangladesh,Dhaka,21-Jan-09
P Utseya (ZIM),38,111,101,2,1,37.62,1,v Bangladesh,Dhaka,21-Jan-09
