Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
Shahid Afridi (PAK),11,23,13,1,0,84.61,1,v South Africa,Port Elizabeth,27-Nov-13
Bilawal Bhatti (PAK),21,15,14,4,0,150,1,v South Africa,Port Elizabeth,27-Nov-13
Anwar Ali (PAK),7,9,4,1,0,175,1,v South Africa,Port Elizabeth,27-Nov-13
Saeed Ajmal (PAK),0,5,1,0,0,0,1,v South Africa,Port Elizabeth,27-Nov-13
Junaid Khan (PAK),1*,2,1,0,0,100,1,v South Africa,Port Elizabeth,27-Nov-13
HM Amla (SA),98,189,131,7,0,74.8,2,v Pakistan,Port Elizabeth,27-Nov-13
GC Smith (SA),1,20,7,0,0,14.28,2,v Pakistan,Port Elizabeth,27-Nov-13
Q de Kock (SA),47,72,52,3,1,90.38,2,v Pakistan,Port Elizabeth,27-Nov-13
JH Kallis (SA),6,12,12,0,0,50,2,v Pakistan,Port Elizabeth,27-Nov-13
AB de Villiers (SA),74,56,45,8,2,164.44,2,v Pakistan,Port Elizabeth,27-Nov-13
JP Duminy (SA),15,29,18,1,0,83.33,2,v Pakistan,Port Elizabeth,27-Nov-13
DA Miller (SA),2*,10,4,0,0,50,2,v Pakistan,Port Elizabeth,27-Nov-13
R McLaren (SA),0*,6,1,0,0,0,2,v Pakistan,Port Elizabeth,27-Nov-13
LL Tsotsobe (SA),DNB,-,-,-,-,-,2,v Pakistan,Port Elizabeth,27-Nov-13
DW Steyn (SA),DNB,-,-,-,-,-,2,v Pakistan,Port Elizabeth,27-Nov-13
Imran Tahir (SA),DNB,-,-,-,-,-,2,v Pakistan,Port Elizabeth,27-Nov-13
Umar Amin (PAK),25,48,35,4,1,71.42,1,v South Africa,Centurion,30-Nov-13
Ahmed Shehzad (PAK),0,3,3,0,0,0,1,v South Africa,Centurion,30-Nov-13
Asad Shafiq (PAK),1,10,5,0,0,20,1,v South Africa,Centurion,30-Nov-13
Sohaib Maqsood (PAK),25,59,39,4,0,64.1,1,v South Africa,Centurion,30-Nov-13
Misbah-ul-Haq (PAK),79*,158,107,4,2,73.83,1,v South Africa,Centurion,30-Nov-13
Umar Akmal (PAK),5,30,26,0,0,19.23,1,v South Africa,Centurion,30-Nov-13
Bilawal Bhatti (PAK),1,12,9,0,0,11.11,1,v South Africa,Centurion,30-Nov-13
Anwar Ali (PAK),1,4,2,0,0,50,1,v South Africa,Centurion,30-Nov-13
Abdur Rehman (PAK),22,60,40,2,0,55,1,v South Africa,Centurion,30-Nov-13
Sohail Tanvir (PAK),6,12,11,1,0,54.54,1,v South Africa,Centurion,30-Nov-13
Saeed Ajmal (PAK),0,9,4,0,0,0,1,v South Africa,Centurion,30-Nov-13
Q de Kock (SA),15,26,18,3,0,83.33,2,v Pakistan,Centurion,30-Nov-13
HM Amla (SA),41,69,48,6,0,85.41,2,v Pakistan,Centurion,30-Nov-13
H Davids (SA),7,21,18,0,0,38.88,2,v Pakistan,Centurion,30-Nov-13
JP Duminy (SA),16,35,23,2,0,69.56,2,v Pakistan,Centurion,30-Nov-13
AB de Villiers (SA),48*,95,63,3,0,76.19,2,v Pakistan,Centurion,30-Nov-13
DA Miller (SA),24,28,26,3,0,92.3,2,v Pakistan,Centurion,30-Nov-13
R McLaren (SA),17,41,29,2,0,58.62,2,v Pakistan,Centurion,30-Nov-13
WD Parnell (SA),7*,13,9,1,0,77.77,2,v Pakistan,Centurion,30-Nov-13
Imran Tahir (SA),DNB,-,-,-,-,-,2,v Pakistan,Centurion,30-Nov-13
LL Tsotsobe (SA),DNB,-,-,-,-,-,2,v Pakistan,Centurion,30-Nov-13
VD Philander (SA),DNB,-,-,-,-,-,2,v Pakistan,Centurion,30-Nov-13
HM Amla (SA),65,117,88,5,1,73.86,1,v India,Johannesburg,5-Dec-13
Q de Kock (SA),135,171,121,18,3,111.57,1,v India,Johannesburg,5-Dec-13
JH Kallis (SA),10,16,14,2,0,71.42,1,v India,Johannesburg,5-Dec-13
AB de Villiers (SA),77,71,47,6,4,163.82,1,v India,Johannesburg,5-Dec-13
JP Duminy (SA),59*,37,29,2,5,203.44,1,v India,Johannesburg,5-Dec-13
DA Miller (SA),5*,3,2,1,0,250,1,v India,Johannesburg,5-Dec-13
M Morkel (SA),DNB,-,-,-,-,-,1,v India,Johannesburg,5-Dec-13
DW Steyn (SA),DNB,-,-,-,-,-,1,v India,Johannesburg,5-Dec-13
R McLaren (SA),DNB,-,-,-,-,-,1,v India,Johannesburg,5-Dec-13
LL Tsotsobe (SA),DNB,-,-,-,-,-,1,v India,Johannesburg,5-Dec-13
WD Parnell (SA),DNB,-,-,-,-,-,1,v India,Johannesburg,5-Dec-13
RG Sharma (INDIA),18,69,43,2,0,41.86,2,v South Africa,Johannesburg,5-Dec-13
S Dhawan (INDIA),12,19,13,3,0,92.3,2,v South Africa,Johannesburg,5-Dec-13
V Kohli (INDIA),31,41,35,5,0,88.57,2,v South Africa,Johannesburg,5-Dec-13
Yuvraj Singh (INDIA),0,2,2,0,0,0,2,v South Africa,Johannesburg,5-Dec-13
SK Raina (INDIA),14,39,20,2,0,70,2,v South Africa,Johannesburg,5-Dec-13
MS Dhoni (INDIA),65,125,71,8,1,91.54,2,v South Africa,Johannesburg,5-Dec-13
RA Jadeja (INDIA),29,36,30,6,0,96.66,2,v South Africa,Johannesburg,5-Dec-13
R Ashwin (INDIA),19,23,19,4,0,100,2,v South Africa,Johannesburg,5-Dec-13
B Kumar (INDIA),0,8,4,0,0,0,2,v South Africa,Johannesburg,5-Dec-13
MM Sharma (INDIA),0*,23,5,0,0,0,2,v South Africa,Johannesburg,5-Dec-13
Mohammed Shami (INDIA),0,3,4,0,0,0,2,v South Africa,Johannesburg,5-Dec-13
Q de Kock (SA),106,125,118,9,0,89.83,1,v India,Durban,8-Dec-13
HM Amla (SA),100,160,117,8,0,85.47,1,v India,Durban,8-Dec-13
AB de Villiers (SA),3,5,4,0,0,75,1,v India,Durban,8-Dec-13
JP Duminy (SA),26,45,29,2,0,89.65,1,v India,Durban,8-Dec-13
DA Miller (SA),0,3,3,0,0,0,1,v India,Durban,8-Dec-13
JH Kallis (SA),10,19,13,1,0,76.92,1,v India,Durban,8-Dec-13
R McLaren (SA),12*,15,5,1,1,240,1,v India,Durban,8-Dec-13
VD Philander (SA),14*,9,5,3,0,280,1,v India,Durban,8-Dec-13
M Morkel (SA),DNB,-,-,-,-,-,1,v India,Durban,8-Dec-13
LL Tsotsobe (SA),DNB,-,-,-,-,-,1,v India,Durban,8-Dec-13
DW Steyn (SA),DNB,-,-,-,-,-,1,v India,Durban,8-Dec-13
RG Sharma (INDIA),19,34,26,2,0,73.07,2,v South Africa,Durban,8-Dec-13
S Dhawan (INDIA),0,9,2,0,0,0,2,v South Africa,Durban,8-Dec-13
V Kohli (INDIA),0,7,5,0,0,0,2,v South Africa,Durban,8-Dec-13
AM Rahane (INDIA),8,23,17,1,0,47.05,2,v South Africa,Durban,8-Dec-13
SK Raina (INDIA),36,64,50,3,0,72,2,v South Africa,Durban,8-Dec-13
MS Dhoni (INDIA),19,43,31,0,0,61.29,2,v South Africa,Durban,8-Dec-13
RA Jadeja (INDIA),26,63,34,1,1,76.47,2,v South Africa,Durban,8-Dec-13
R Ashwin (INDIA),15,35,26,1,0,57.69,2,v South Africa,Durban,8-Dec-13
Mohammed Shami (INDIA),8,21,14,0,0,57.14,2,v South Africa,Durban,8-Dec-13
UT Yadav (INDIA),1,6,5,0,0,20,2,v South Africa,Durban,8-Dec-13
I Sharma (INDIA),0*,2,2,0,0,0,2,v South Africa,Durban,8-Dec-13
RA Jadeja (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
S Dhawan (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
R Ashwin (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
UT Yadav (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
MS Dhoni (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
I Sharma (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
RG Sharma (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
SK Raina (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
Mohammed Shami (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
Yuvraj Singh (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
V Kohli (INDIA),TDNB,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13
HM Amla (SA),13,21,16,3,0,81.25,1,v India,Centurion,11-Dec-13
Q de Kock (SA),101,149,120,9,2,84.16,1,v India,Centurion,11-Dec-13
H Davids (SA),1,13,6,0,0,16.66,1,v India,Centurion,11-Dec-13
JP Duminy (SA),0,3,3,0,0,0,1,v India,Centurion,11-Dec-13
AB de Villiers (SA),109,133,101,6,5,107.92,1,v India,Centurion,11-Dec-13
DA Miller (SA),56*,56,34,5,3,164.7,1,v India,Centurion,11-Dec-13
R McLaren (SA),6,13,10,0,0,60,1,v India,Centurion,11-Dec-13
WD Parnell (SA),9,13,8,1,0,112.5,1,v India,Centurion,11-Dec-13
VD Philander (SA),0,3,1,0,0,0,1,v India,Centurion,11-Dec-13
LL Tsotsobe (SA),1*,3,1,0,0,100,1,v India,Centurion,11-Dec-13
Imran Tahir (SA),DNB,-,-,-,-,-,1,v India,Centurion,11-Dec-13
Sharjeel Khan (PAK),61,88,61,6,3,100,1,v Sri Lanka,Sharjah,18-Dec-13
Ahmed Shehzad (PAK),11,27,22,1,0,50,1,v Sri Lanka,Sharjah,18-Dec-13
Mohammad Hafeez (PAK),122,181,129,7,4,94.57,1,v Sri Lanka,Sharjah,18-Dec-13
Sohaib Maqsood (PAK),73,85,68,2,4,107.35,1,v Sri Lanka,Sharjah,18-Dec-13
Shahid Afridi (PAK),34,19,12,2,3,283.33,1,v Sri Lanka,Sharjah,18-Dec-13
Umar Akmal (PAK),9*,13,7,1,0,128.57,1,v Sri Lanka,Sharjah,18-Dec-13
Bilawal Bhatti (PAK),1*,1,1,0,0,100,1,v Sri Lanka,Sharjah,18-Dec-13
Sohail Tanvir (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Sharjah,18-Dec-13
Saeed Ajmal (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Sharjah,18-Dec-13
Misbah-ul-Haq (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Sharjah,18-Dec-13
Junaid Khan (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Sharjah,18-Dec-13
MDKJ Perera (SL),64,91,68,5,1,94.11,2,v Pakistan,Sharjah,18-Dec-13
TM Dilshan (SL),30,53,43,2,0,69.76,2,v Pakistan,Sharjah,18-Dec-13
KC Sangakkara (SL),23,47,33,0,0,69.69,2,v Pakistan,Sharjah,18-Dec-13
LD Chandimal (SL),46,77,50,2,3,92,2,v Pakistan,Sharjah,18-Dec-13
HDRL Thirimanne (SL),10,15,16,1,0,62.5,2,v Pakistan,Sharjah,18-Dec-13
AD Mathews (SL),31,57,32,2,1,96.87,2,v Pakistan,Sharjah,18-Dec-13
NLTC Perera (SL),6,9,6,1,0,100,2,v Pakistan,Sharjah,18-Dec-13
S Prasanna (SL),42,52,25,4,3,168,2,v Pakistan,Sharjah,18-Dec-13
SMSM Senanayake (SL),42,40,24,7,1,175,2,v Pakistan,Sharjah,18-Dec-13
SL Malinga (SL),0,4,0,0,0,-,2,v Pakistan,Sharjah,18-Dec-13
RAS Lakmal (SL),1*,2,1,0,0,100,2,v Pakistan,Sharjah,18-Dec-13
Sharjeel Khan (PAK),7,11,6,1,0,116.66,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Ahmed Shehzad (PAK),124,189,140,8,0,88.57,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Mohammad Hafeez (PAK),32,80,52,3,0,61.53,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Sohaib Maqsood (PAK),18,23,26,0,1,69.23,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Misbah-ul-Haq (PAK),59*,94,62,2,1,95.16,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Shahid Afridi (PAK),30*,22,15,1,2,200,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Sohail Tanvir (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Saeed Ajmal (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Bilawal Bhatti (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Junaid Khan (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Dubai (DSC),20-Dec-13
Umar Akmal (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Dubai (DSC),20-Dec-13
MDKJ Perera (SL),16,36,24,2,0,66.66,2,v Pakistan,Dubai (DSC),20-Dec-13
TM Dilshan (SL),40,65,48,6,0,83.33,2,v Pakistan,Dubai (DSC),20-Dec-13
KC Sangakkara (SL),58,109,67,4,1,86.56,2,v Pakistan,Dubai (DSC),20-Dec-13
LD Chandimal (SL),44,88,57,0,1,77.19,2,v Pakistan,Dubai (DSC),20-Dec-13
NLTC Perera (SL),5,19,14,0,0,35.71,2,v Pakistan,Dubai (DSC),20-Dec-13
AD Mathews (SL),47,82,44,2,0,106.81,2,v Pakistan,Dubai (DSC),20-Dec-13
KMDN Kulasekara (SL),32,33,26,3,2,123.07,2,v Pakistan,Dubai (DSC),20-Dec-13
S Prasanna (SL),6,5,5,1,0,120,2,v Pakistan,Dubai (DSC),20-Dec-13
FDM Karunaratne (SL),16*,35,12,1,0,133.33,2,v Pakistan,Dubai (DSC),20-Dec-13
SMSM Senanayake (SL),6*,2,3,1,0,200,2,v Pakistan,Dubai (DSC),20-Dec-13
SL Malinga (SL),DNB,-,-,-,-,-,2,v Pakistan,Dubai (DSC),20-Dec-13
Sharjeel Khan (PAK),2,12,12,0,0,16.66,1,v Sri Lanka,Sharjah,22-Dec-13
Ahmed Shehzad (PAK),81,122,89,6,2,91.01,1,v Sri Lanka,Sharjah,22-Dec-13
Mohammad Hafeez (PAK),140*,203,136,11,3,102.94,1,v Sri Lanka,Sharjah,22-Dec-13
Sohaib Maqsood (PAK),21,29,21,1,2,100,1,v Sri Lanka,Sharjah,22-Dec-13
Misbah-ul-Haq (PAK),40,39,26,3,2,153.84,1,v Sri Lanka,Sharjah,22-Dec-13
Shahid Afridi (PAK),2,5,4,0,0,50,1,v Sri Lanka,Sharjah,22-Dec-13
Umar Akmal (PAK),23*,14,12,1,2,191.66,1,v Sri Lanka,Sharjah,22-Dec-13
Junaid Khan (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Sharjah,22-Dec-13
Umar Gul (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Sharjah,22-Dec-13
Saeed Ajmal (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Sharjah,22-Dec-13
Bilawal Bhatti (PAK),DNB,-,-,-,-,-,1,v Sri Lanka,Sharjah,22-Dec-13
MDKJ Perera (SL),7,15,13,0,0,53.84,2,v Pakistan,Sharjah,22-Dec-13
TM Dilshan (SL),59,94,62,10,0,95.16,2,v Pakistan,Sharjah,22-Dec-13
FDM Karunaratne (SL),0,2,4,0,0,0,2,v Pakistan,Sharjah,22-Dec-13
KC Sangakkara (SL),14,25,14,2,1,100,2,v Pakistan,Sharjah,22-Dec-13
LD Chandimal (SL),36,72,53,3,0,67.92,2,v Pakistan,Sharjah,22-Dec-13
AD Mathews (SL),44,68,51,1,3,86.27,2,v Pakistan,Sharjah,22-Dec-13
KMDN Kulasekara (SL),1,7,11,0,0,9.09,2,v Pakistan,Sharjah,22-Dec-13
S Prasanna (SL),22,9,15,2,2,146.66,2,v Pakistan,Sharjah,22-Dec-13
NLTC Perera (SL),2,12,6,0,0,33.33,2,v Pakistan,Sharjah,22-Dec-13
SMSM Senanayake (SL),4*,30,12,0,0,33.33,2,v Pakistan,Sharjah,22-Dec-13
SL Malinga (SL),19,20,27,4,0,70.37,2,v Pakistan,Sharjah,22-Dec-13
MDKJ Perera (SL),8,8,8,1,0,100,1,v Pakistan,Abu Dhabi,25-Dec-13
TM Dilshan (SL),8,18,7,1,0,114.28,1,v Pakistan,Abu Dhabi,25-Dec-13
KC Sangakkara (SL),51,109,78,3,0,65.38,1,v Pakistan,Abu Dhabi,25-Dec-13
LD Chandimal (SL),5,17,12,1,0,41.66,1,v Pakistan,Abu Dhabi,25-Dec-13
SMA Priyanjan (SL),74,112,93,10,0,79.56,1,v Pakistan,Abu Dhabi,25-Dec-13
AD Mathews (SL),38,64,46,2,1,82.6,1,v Pakistan,Abu Dhabi,25-Dec-13
KMDN Kulasekara (SL),1,6,7,0,0,14.28,1,v Pakistan,Abu Dhabi,25-Dec-13
KDK Vithanage (SL),27,44,26,4,0,103.84,1,v Pakistan,Abu Dhabi,25-Dec-13
SMSM Senanayake (SL),0,1,1,0,0,0,1,v Pakistan,Abu Dhabi,25-Dec-13
RAS Lakmal (SL),2*,18,11,0,0,18.18,1,v Pakistan,Abu Dhabi,25-Dec-13
SL Malinga (SL),0,4,5,0,0,0,1,v Pakistan,Abu Dhabi,25-Dec-13
Sharjeel Khan (PAK),13,23,16,2,0,81.25,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Ahmed Shehzad (PAK),44,90,56,5,0,78.57,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Mohammad Hafeez (PAK),113*,150,119,12,2,94.95,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Sohaib Maqsood (PAK),46*,85,56,4,1,82.14,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Bilawal Bhatti (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Umar Akmal (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Shahid Afridi (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Saeed Ajmal (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Misbah-ul-Haq (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Junaid Khan (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Abu Dhabi,25-Dec-13
Umar Gul (PAK),DNB,-,-,-,-,-,2,v Sri Lanka,Abu Dhabi,25-Dec-13
MJ Guptill (NZ),2,16,17,0,0,11.76,1,v West Indies,Auckland,26-Dec-13
JD Ryder (NZ),0,7,5,0,0,0,1,v West Indies,Auckland,26-Dec-13
KS Williamson (NZ),8,44,22,0,0,36.36,1,v West Indies,Auckland,26-Dec-13
LRPL Taylor (NZ),3,13,10,0,0,30,1,v West Indies,Auckland,26-Dec-13
BB McCullum (NZ),51,110,57,5,1,89.47,1,v West Indies,Auckland,26-Dec-13
CJ Anderson (NZ),13,29,21,2,0,61.9,1,v West Indies,Auckland,26-Dec-13
L Ronchi (NZ),7,8,7,1,0,100,1,v West Indies,Auckland,26-Dec-13
JDS Neesham (NZ),10,30,28,1,0,35.71,1,v West Indies,Auckland,26-Dec-13
NL McCullum (NZ),47,75,64,2,3,73.43,1,v West Indies,Auckland,26-Dec-13
KD Mills (NZ),3,13,7,0,0,42.85,1,v West Indies,Auckland,26-Dec-13
MJ McClenaghan (NZ),3*,42,15,0,0,20,1,v West Indies,Auckland,26-Dec-13
J Charles (WI),9,26,17,0,1,52.94,2,v New Zealand,Auckland,26-Dec-13
KOA Powell (WI),4,8,5,1,0,80,2,v New Zealand,Auckland,26-Dec-13
DM Bravo (WI),14,27,18,3,0,77.77,2,v New Zealand,Auckland,26-Dec-13
LMP Simmons (WI),34,72,43,4,1,79.06,2,v New Zealand,Auckland,26-Dec-13
DJ Bravo (WI),12,19,14,1,1,85.71,2,v New Zealand,Auckland,26-Dec-13
N Deonarine (WI),6,50,20,0,0,30,2,v New Zealand,Auckland,26-Dec-13
D Ramdin (WI),2,24,13,0,0,15.38,2,v New Zealand,Auckland,26-Dec-13
DJG Sammy (WI),43*,40,27,5,3,159.25,2,v New Zealand,Auckland,26-Dec-13
JO Holder (WI),10,20,9,1,0,111.11,2,v New Zealand,Auckland,26-Dec-13
SP Narine (WI),0*,3,0,0,0,-,2,v New Zealand,Auckland,26-Dec-13
R Rampaul (WI),DNB,-,-,-,-,-,2,v New Zealand,Auckland,26-Dec-13
Sharjeel Khan (PAK),18,53,35,2,0,51.42,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Ahmed Shehzad (PAK),17,23,16,2,1,106.25,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Mohammad Hafeez (PAK),41,95,56,2,0,73.21,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Sohaib Maqsood (PAK),7,15,14,1,0,50,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Misbah-ul-Haq (PAK),51,85,74,2,1,68.91,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Umar Akmal (PAK),20,45,37,2,0,54.05,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Anwar Ali (PAK),41*,54,38,2,1,107.89,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Abdur Rehman (PAK),1,7,5,0,0,20,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Umar Gul (PAK),8,17,12,1,0,66.66,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Saeed Ajmal (PAK),8,19,9,1,0,88.88,1,v Sri Lanka,Abu Dhabi,27-Dec-13
Junaid Khan (PAK),0,1,1,0,0,0,1,v Sri Lanka,Abu Dhabi,27-Dec-13
MDKJ Perera (SL),47,54,41,3,4,114.63,2,v Pakistan,Abu Dhabi,27-Dec-13
TM Dilshan (SL),45,100,69,4,0,65.21,2,v Pakistan,Abu Dhabi,27-Dec-13
KC Sangakkara (SL),22,67,48,0,0,45.83,2,v Pakistan,Abu Dhabi,27-Dec-13
LD Chandimal (SL),64*,125,70,1,1,91.42,2,v Pakistan,Abu Dhabi,27-Dec-13
SMA Priyanjan (SL),1,8,6,0,0,16.66,2,v Pakistan,Abu Dhabi,27-Dec-13
AD Mathews (SL),8,43,31,0,0,25.8,2,v Pakistan,Abu Dhabi,27-Dec-13
KDK Vithanage (SL),14,14,13,2,0,107.69,2,v Pakistan,Abu Dhabi,27-Dec-13
SMSM Senanayake (SL),3,6,5,0,0,60,2,v Pakistan,Abu Dhabi,27-Dec-13
SL Malinga (SL),0,2,1,0,0,0,2,v Pakistan,Abu Dhabi,27-Dec-13
BAW Mendis (SL),19*,23,14,2,1,135.71,2,v Pakistan,Abu Dhabi,27-Dec-13
RAS Lakmal (SL),DNB,-,-,-,-,-,2,v Pakistan,Abu Dhabi,27-Dec-13
MJ Guptill (NZ),1,7,7,0,0,14.28,1,v West Indies,Queenstown,1-Jan-14
JD Ryder (NZ),104,86,51,12,5,203.92,1,v West Indies,Queenstown,1-Jan-14
BB McCullum (NZ),33,16,11,3,3,300,1,v West Indies,Queenstown,1-Jan-14
LRPL Taylor (NZ),9,13,8,1,0,112.5,1,v West Indies,Queenstown,1-Jan-14
CJ Anderson (NZ),131*,51,47,6,14,278.72,1,v West Indies,Queenstown,1-Jan-14
L Ronchi (NZ),3*,3,2,0,0,150,1,v West Indies,Queenstown,1-Jan-14
NL McCullum (NZ),DNB,-,-,-,-,-,1,v West Indies,Queenstown,1-Jan-14
JDS Neesham (NZ),DNB,-,-,-,-,-,1,v West Indies,Queenstown,1-Jan-14
KD Mills (NZ),DNB,-,-,-,-,-,1,v West Indies,Queenstown,1-Jan-14
AF Milne (NZ),DNB,-,-,-,-,-,1,v West Indies,Queenstown,1-Jan-14
MJ McClenaghan (NZ),DNB,-,-,-,-,-,1,v West Indies,Queenstown,1-Jan-14
J Charles (WI),0,2,3,0,0,0,2,v New Zealand,Queenstown,1-Jan-14
LMP Simmons (WI),13,14,11,1,1,118.18,2,v New Zealand,Queenstown,1-Jan-14
CAK Walton (WI),17,31,23,1,0,73.91,2,v New Zealand,Queenstown,1-Jan-14
KOA Powell (WI),1,4,3,0,0,33.33,2,v New Zealand,Queenstown,1-Jan-14
DJ Bravo (WI),56*,43,54,3,3,103.7,2,v New Zealand,Queenstown,1-Jan-14
N Deonarine (WI),29,21,30,4,0,96.66,2,v New Zealand,Queenstown,1-Jan-14
D Ramdin (WI),1*,5,2,0,0,50,2,v New Zealand,Queenstown,1-Jan-14
SP Narine (WI),DNB,-,-,-,-,-,2,v New Zealand,Queenstown,1-Jan-14
NO Miller (WI),DNB,-,-,-,-,-,2,v New Zealand,Queenstown,1-Jan-14
R Rampaul (WI),DNB,-,-,-,-,-,2,v New Zealand,Queenstown,1-Jan-14
JO Holder (WI),DNB,-,-,-,-,-,2,v New Zealand,Queenstown,1-Jan-14
MJ Guptill (NZ),81,166,119,4,2,68.06,1,v West Indies,Nelson,4-Jan-14
JD Ryder (NZ),47,62,49,7,0,95.91,1,v West Indies,Nelson,4-Jan-14
KS Williamson (NZ),47,61,55,3,0,85.45,1,v West Indies,Nelson,4-Jan-14
LRPL Taylor (NZ),49,69,44,5,0,111.36,1,v West Indies,Nelson,4-Jan-14
BB McCullum (NZ),14,15,9,1,1,155.55,1,v West Indies,Nelson,4-Jan-14
CJ Anderson (NZ),17*,29,13,1,1,130.76,1,v West Indies,Nelson,4-Jan-14
L Ronchi (NZ),9,11,8,1,0,112.5,1,v West Indies,Nelson,4-Jan-14
NL McCullum (NZ),9*,5,4,0,1,225,1,v West Indies,Nelson,4-Jan-14
TG Southee (NZ),DNB,-,-,-,-,-,1,v West Indies,Nelson,4-Jan-14
MJ McClenaghan (NZ),DNB,-,-,-,-,-,1,v West Indies,Nelson,4-Jan-14
KD Mills (NZ),DNB,-,-,-,-,-,1,v West Indies,Nelson,4-Jan-14
CAK Walton (WI),0,3,4,0,0,0,2,v New Zealand,Nelson,4-Jan-14
J Charles (WI),0,16,14,0,0,0,2,v New Zealand,Nelson,4-Jan-14
KA Edwards (WI),24,63,40,2,0,60,2,v New Zealand,Nelson,4-Jan-14
LMP Simmons (WI),43,68,48,6,0,89.58,2,v New Zealand,Nelson,4-Jan-14
DJ Bravo (WI),43*,52,55,3,0,78.18,2,v New Zealand,Nelson,4-Jan-14
N Deonarine (WI),3,9,13,0,0,23.07,2,v New Zealand,Nelson,4-Jan-14
D Ramdin (WI),17*,25,28,0,0,60.71,2,v New Zealand,Nelson,4-Jan-14
SP Narine (WI),DNB,-,-,-,-,-,2,v New Zealand,Nelson,4-Jan-14
TL Best (WI),DNB,-,-,-,-,-,2,v New Zealand,Nelson,4-Jan-14
JO Holder (WI),DNB,-,-,-,-,-,2,v New Zealand,Nelson,4-Jan-14
NO Miller (WI),DNB,-,-,-,-,-,2,v New Zealand,Nelson,4-Jan-14
KOA Powell (WI),73,48,44,12,2,165.9,1,v New Zealand,Hamilton,8-Jan-14
J Charles (WI),31,79,45,4,0,68.88,1,v New Zealand,Hamilton,8-Jan-14
KA Edwards (WI),123*,168,108,12,4,113.88,1,v New Zealand,Hamilton,8-Jan-14
LMP Simmons (WI),9,24,19,0,0,47.36,1,v New Zealand,Hamilton,8-Jan-14
DJ Bravo (WI),106,108,81,12,3,130.86,1,v New Zealand,Hamilton,8-Jan-14
AD Russell (WI),6*,3,3,1,0,200,1,v New Zealand,Hamilton,8-Jan-14
D Ramdin (WI),DNB,-,-,-,-,-,1,v New Zealand,Hamilton,8-Jan-14
JO Holder (WI),DNB,-,-,-,-,-,1,v New Zealand,Hamilton,8-Jan-14
