Player,Overs,Maidens,Runs,Wkts,Econ,Inns,Oppn,Ground,Date
Fawad Alam (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),2-Nov-10
Imran Farhat (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),2-Nov-10
Asad Shafiq (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),2-Nov-10
Younis Khan (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),2-Nov-10
Zulqarnain Haider (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),2-Nov-10
M Morkel (SA),10,1,47,4,4.7,2,v Pakistan,Dubai (DSC),2-Nov-10
LL Tsotsobe (SA),10,1,28,1,2.8,2,v Pakistan,Dubai (DSC),2-Nov-10
JH Kallis (SA),7,0,30,1,4.28,2,v Pakistan,Dubai (DSC),2-Nov-10
J Theron (SA),8,0,49,1,6.12,2,v Pakistan,Dubai (DSC),2-Nov-10
J Botha (SA),10,0,42,0,4.2,2,v Pakistan,Dubai (DSC),2-Nov-10
JP Duminy (SA),5,0,17,0,3.4,2,v Pakistan,Dubai (DSC),2-Nov-10
DA Miller (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),2-Nov-10
CA Ingram (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),2-Nov-10
JA Morkel (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),2-Nov-10
AB de Villiers (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),2-Nov-10
HM Amla (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),2-Nov-10
SL Malinga (SL),10,0,39,1,3.9,1,v Australia,Melbourne,3-Nov-10
KMDN Kulasekara (SL),10,0,60,1,6,1,v Australia,Melbourne,3-Nov-10
NLTC Perera (SL),8,0,46,5,5.75,1,v Australia,Melbourne,3-Nov-10
M Muralitharan (SL),9,0,36,0,4,1,v Australia,Melbourne,3-Nov-10
S Randiv (SL),9,0,35,1,3.88,1,v Australia,Melbourne,3-Nov-10
TM Dilshan (SL),4,0,17,0,4.25,1,v Australia,Melbourne,3-Nov-10
AD Mathews (SL),DNB,-,-,-,-,1,v Australia,Melbourne,3-Nov-10
LPC Silva (SL),DNB,-,-,-,-,1,v Australia,Melbourne,3-Nov-10
KC Sangakkara (SL),DNB,-,-,-,-,1,v Australia,Melbourne,3-Nov-10
DPMD Jayawardene (SL),DNB,-,-,-,-,1,v Australia,Melbourne,3-Nov-10
WU Tharanga (SL),DNB,-,-,-,-,1,v Australia,Melbourne,3-Nov-10
MG Johnson (AUS),10,1,68,1,6.8,2,v Sri Lanka,Melbourne,3-Nov-10
PM Siddle (AUS),8,0,51,1,6.37,2,v Sri Lanka,Melbourne,3-Nov-10
SR Watson (AUS),6.2,0,39,0,6.15,2,v Sri Lanka,Melbourne,3-Nov-10
JW Hastings (AUS),6,0,27,0,4.5,2,v Sri Lanka,Melbourne,3-Nov-10
XJ Doherty (AUS),10,1,46,4,4.6,2,v Sri Lanka,Melbourne,3-Nov-10
SPD Smith (AUS),3,0,8,0,2.66,2,v Sri Lanka,Melbourne,3-Nov-10
MJ Clarke (AUS),1,0,2,0,2,2,v Sri Lanka,Melbourne,3-Nov-10
SE Marsh (AUS),DNB,-,-,-,-,2,v Sri Lanka,Melbourne,3-Nov-10
BJ Haddin (AUS),DNB,-,-,-,-,2,v Sri Lanka,Melbourne,3-Nov-10
CL White (AUS),DNB,-,-,-,-,2,v Sri Lanka,Melbourne,3-Nov-10
MEK Hussey (AUS),DNB,-,-,-,-,2,v Sri Lanka,Melbourne,3-Nov-10
PM Siddle (AUS),7.1,1,31,0,4.32,1,v Sri Lanka,Sydney,5-Nov-10
CJ McKay (AUS),8,1,42,0,5.25,1,v Sri Lanka,Sydney,5-Nov-10
MG Johnson (AUS),7,0,43,0,6.14,1,v Sri Lanka,Sydney,5-Nov-10
NM Hauritz (AUS),9,0,48,1,5.33,1,v Sri Lanka,Sydney,5-Nov-10
SPD Smith (AUS),2,0,10,0,5,1,v Sri Lanka,Sydney,5-Nov-10
SR Watson (AUS),8,0,34,2,4.25,1,v Sri Lanka,Sydney,5-Nov-10
BJ Haddin (AUS),DNB,-,-,-,-,1,v Sri Lanka,Sydney,5-Nov-10
MJ Clarke (AUS),DNB,-,-,-,-,1,v Sri Lanka,Sydney,5-Nov-10
RT Ponting (AUS),DNB,-,-,-,-,1,v Sri Lanka,Sydney,5-Nov-10
CL White (AUS),DNB,-,-,-,-,1,v Sri Lanka,Sydney,5-Nov-10
MEK Hussey (AUS),DNB,-,-,-,-,1,v Sri Lanka,Sydney,5-Nov-10
SL Malinga (SL),7.4,0,34,1,4.43,2,v Australia,Sydney,5-Nov-10
KMDN Kulasekara (SL),8,1,48,2,6,2,v Australia,Sydney,5-Nov-10
NLTC Perera (SL),8,0,39,2,4.87,2,v Australia,Sydney,5-Nov-10
M Muralitharan (SL),7,0,30,2,4.28,2,v Australia,Sydney,5-Nov-10
S Randiv (SL),7,0,53,2,7.57,2,v Australia,Sydney,5-Nov-10
LPC Silva (SL),DNB,-,-,-,-,2,v Australia,Sydney,5-Nov-10
KC Sangakkara (SL),DNB,-,-,-,-,2,v Australia,Sydney,5-Nov-10
DPMD Jayawardene (SL),DNB,-,-,-,-,2,v Australia,Sydney,5-Nov-10
WU Tharanga (SL),DNB,-,-,-,-,2,v Australia,Sydney,5-Nov-10
TM Dilshan (SL),DNB,-,-,-,-,2,v Australia,Sydney,5-Nov-10
AD Mathews (SL),DNB,-,-,-,-,2,v Australia,Sydney,5-Nov-10
Shoaib Akhtar (PAK),9,0,51,2,5.66,1,v South Africa,Dubai (DSC),5-Nov-10
Abdul Razzaq (PAK),5,0,30,0,6,1,v South Africa,Dubai (DSC),5-Nov-10
Wahab Riaz (PAK),9,0,61,2,6.77,1,v South Africa,Dubai (DSC),5-Nov-10
Mohammad Hafeez (PAK),7,0,37,2,5.28,1,v South Africa,Dubai (DSC),5-Nov-10
Shahid Afridi (PAK),10,0,51,0,5.1,1,v South Africa,Dubai (DSC),5-Nov-10
Abdur Rehman (PAK),10,0,39,0,3.9,1,v South Africa,Dubai (DSC),5-Nov-10
Asad Shafiq (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),5-Nov-10
Younis Khan (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),5-Nov-10
Zulqarnain Haider (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),5-Nov-10
Fawad Alam (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),5-Nov-10
Imran Farhat (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),5-Nov-10
M Morkel (SA),10,0,48,3,4.8,2,v Pakistan,Dubai (DSC),5-Nov-10
WD Parnell (SA),8.5,0,53,0,6,2,v Pakistan,Dubai (DSC),5-Nov-10
DW Steyn (SA),10,0,79,1,7.9,2,v Pakistan,Dubai (DSC),5-Nov-10
J Botha (SA),10,0,42,1,4.2,2,v Pakistan,Dubai (DSC),5-Nov-10
JH Kallis (SA),9,0,40,1,4.44,2,v Pakistan,Dubai (DSC),5-Nov-10
JP Duminy (SA),2,0,9,0,4.5,2,v Pakistan,Dubai (DSC),5-Nov-10
CA Ingram (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),5-Nov-10
AB de Villiers (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),5-Nov-10
GC Smith (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),5-Nov-10
DA Miller (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),5-Nov-10
HM Amla (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),5-Nov-10
CJ McKay (AUS),9,1,33,5,3.66,1,v Sri Lanka,Brisbane,7-Nov-10
MG Johnson (AUS),5,0,17,0,3.4,1,v Sri Lanka,Brisbane,7-Nov-10
SR Watson (AUS),5,0,11,1,2.2,1,v Sri Lanka,Brisbane,7-Nov-10
MA Starc (AUS),9,0,27,4,3,1,v Sri Lanka,Brisbane,7-Nov-10
XJ Doherty (AUS),4,0,17,0,4.25,1,v Sri Lanka,Brisbane,7-Nov-10
MJ Clarke (AUS),DNB,-,-,-,-,1,v Sri Lanka,Brisbane,7-Nov-10
SPD Smith (AUS),DNB,-,-,-,-,1,v Sri Lanka,Brisbane,7-Nov-10
MEK Hussey (AUS),DNB,-,-,-,-,1,v Sri Lanka,Brisbane,7-Nov-10
CJ Ferguson (AUS),DNB,-,-,-,-,1,v Sri Lanka,Brisbane,7-Nov-10
BJ Haddin (AUS),DNB,-,-,-,-,1,v Sri Lanka,Brisbane,7-Nov-10
CL White (AUS),DNB,-,-,-,-,1,v Sri Lanka,Brisbane,7-Nov-10
SL Malinga (SL),6,0,31,0,5.16,2,v Australia,Brisbane,7-Nov-10
CRD Fernando (SL),8,0,47,2,5.87,2,v Australia,Brisbane,7-Nov-10
NLTC Perera (SL),4.4,1,19,0,4.07,2,v Australia,Brisbane,7-Nov-10
BMAJ Mendis (SL),1,0,10,0,10,2,v Australia,Brisbane,7-Nov-10
S Randiv (SL),2,0,11,0,5.5,2,v Australia,Brisbane,7-Nov-10
TM Dilshan (SL),DNB,-,-,-,-,2,v Australia,Brisbane,7-Nov-10
WU Tharanga (SL),DNB,-,-,-,-,2,v Australia,Brisbane,7-Nov-10
LPC Silva (SL),DNB,-,-,-,-,2,v Australia,Brisbane,7-Nov-10
AD Mathews (SL),DNB,-,-,-,-,2,v Australia,Brisbane,7-Nov-10
KC Sangakkara (SL),DNB,-,-,-,-,2,v Australia,Brisbane,7-Nov-10
DPMD Jayawardene (SL),DNB,-,-,-,-,2,v Australia,Brisbane,7-Nov-10
Shoaib Akhtar (PAK),7,0,77,1,11,1,v South Africa,Dubai (DSC),8-Nov-10
Abdul Razzaq (PAK),3,0,18,0,6,1,v South Africa,Dubai (DSC),8-Nov-10
Abdur Rehman (PAK),10,0,33,0,3.3,1,v South Africa,Dubai (DSC),8-Nov-10
Shahid Afridi (PAK),10,0,59,2,5.9,1,v South Africa,Dubai (DSC),8-Nov-10
Mohammad Hafeez (PAK),10,0,47,1,4.7,1,v South Africa,Dubai (DSC),8-Nov-10
Wahab Riaz (PAK),8,0,64,0,8,1,v South Africa,Dubai (DSC),8-Nov-10
Younis Khan (PAK),2,0,15,0,7.5,1,v South Africa,Dubai (DSC),8-Nov-10
Fawad Alam (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),8-Nov-10
Umar Akmal (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),8-Nov-10
Mohammad Yousuf (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),8-Nov-10
Shahzaib Hasan (PAK),DNB,-,-,-,-,1,v South Africa,Dubai (DSC),8-Nov-10
DW Steyn (SA),8,0,47,2,5.87,2,v Pakistan,Dubai (DSC),8-Nov-10
LL Tsotsobe (SA),9,0,47,1,5.22,2,v Pakistan,Dubai (DSC),8-Nov-10
M Morkel (SA),7,0,45,0,6.42,2,v Pakistan,Dubai (DSC),8-Nov-10
JH Kallis (SA),5,0,30,3,6,2,v Pakistan,Dubai (DSC),8-Nov-10
J Botha (SA),7,0,49,1,7,2,v Pakistan,Dubai (DSC),8-Nov-10
RJ Peterson (SA),8.5,0,42,3,4.75,2,v Pakistan,Dubai (DSC),8-Nov-10
AB de Villiers (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),8-Nov-10
GC Smith (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),8-Nov-10
JP Duminy (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),8-Nov-10
HM Amla (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),8-Nov-10
CA Ingram (SA),DNB,-,-,-,-,2,v Pakistan,Dubai (DSC),8-Nov-10
KD Mills (NZ),10,0,42,3,4.2,1,v India,Guwahati,28-Nov-10
DR Tuffey (NZ),8,0,56,2,7,1,v India,Guwahati,28-Nov-10
AJ McKay (NZ),10,1,62,4,6.2,1,v India,Guwahati,28-Nov-10
GD Elliott (NZ),5,0,24,0,4.8,1,v India,Guwahati,28-Nov-10
NL McCullum (NZ),9,0,53,0,5.88,1,v India,Guwahati,28-Nov-10
SB Styris (NZ),6,0,26,0,4.33,1,v India,Guwahati,28-Nov-10
KS Williamson (NZ),1,0,11,0,11,1,v India,Guwahati,28-Nov-10
LRPL Taylor (NZ),DNB,-,-,-,-,1,v India,Guwahati,28-Nov-10
JM How (NZ),DNB,-,-,-,-,1,v India,Guwahati,28-Nov-10
MJ Guptill (NZ),DNB,-,-,-,-,1,v India,Guwahati,28-Nov-10
GJ Hopkins (NZ),DNB,-,-,-,-,1,v India,Guwahati,28-Nov-10
A Nehra (INDIA),9,0,44,1,4.88,2,v New Zealand,Guwahati,28-Nov-10
S Sreesanth (INDIA),5.2,0,30,3,5.62,2,v New Zealand,Guwahati,28-Nov-10
R Ashwin (INDIA),10,1,50,3,5,2,v New Zealand,Guwahati,28-Nov-10
MM Patel (INDIA),8,0,39,0,4.87,2,v New Zealand,Guwahati,28-Nov-10
Yuvraj Singh (INDIA),10,0,43,3,4.3,2,v New Zealand,Guwahati,28-Nov-10
YK Pathan (INDIA),2,0,24,0,12,2,v New Zealand,Guwahati,28-Nov-10
SK Raina (INDIA),1,0,5,0,5,2,v New Zealand,Guwahati,28-Nov-10
V Kohli (INDIA),DNB,-,-,-,-,2,v New Zealand,Guwahati,28-Nov-10
WP Saha (INDIA),DNB,-,-,-,-,2,v New Zealand,Guwahati,28-Nov-10
G Gambhir (INDIA),DNB,-,-,-,-,2,v New Zealand,Guwahati,28-Nov-10
M Vijay (INDIA),DNB,-,-,-,-,2,v New Zealand,Guwahati,28-Nov-10
Mashrafe Mortaza (BDESH),6,0,36,0,6,1,v Zimbabwe,Dhaka,1-Dec-10
Shafiul Islam (BDESH),4,0,21,0,5.25,1,v Zimbabwe,Dhaka,1-Dec-10
Abdur Razzak (BDESH),10,1,41,4,4.1,1,v Zimbabwe,Dhaka,1-Dec-10
Sohrawordi Shuvo (BDESH),10,2,32,2,3.2,1,v Zimbabwe,Dhaka,1-Dec-10
Shakib Al Hasan (BDESH),10,0,37,1,3.7,1,v Zimbabwe,Dhaka,1-Dec-10
Mahmudullah (BDESH),9,1,38,2,4.22,1,v Zimbabwe,Dhaka,1-Dec-10
Imrul Kayes (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,1-Dec-10
Junaid Siddique (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,1-Dec-10
Mohammad Ashraful (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,1-Dec-10
Tamim Iqbal (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,1-Dec-10
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,1-Dec-10
CB Mpofu (ZIM),9,0,25,3,2.77,2,v Bangladesh,Dhaka,1-Dec-10
KO Meth (ZIM),8,0,50,0,6.25,2,v Bangladesh,Dhaka,1-Dec-10
P Utseya (ZIM),10,0,35,1,3.5,2,v Bangladesh,Dhaka,1-Dec-10
RW Price (ZIM),10,1,29,2,2.9,2,v Bangladesh,Dhaka,1-Dec-10
KM Dabengwa (ZIM),5,0,32,0,6.4,2,v Bangladesh,Dhaka,1-Dec-10
BRM Taylor (ZIM),7,0,27,0,3.85,2,v Bangladesh,Dhaka,1-Dec-10
RW Chakabva (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,1-Dec-10
T Taibu (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,1-Dec-10
CJ Chibhabha (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,1-Dec-10
CR Ervine (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,1-Dec-10
E Chigumbura (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,1-Dec-10
A Nehra (INDIA),9,1,45,0,5,1,v New Zealand,Jaipur,1-Dec-10
S Sreesanth (INDIA),9,1,47,4,5.22,1,v New Zealand,Jaipur,1-Dec-10
MM Patel (INDIA),8,0,34,1,4.25,1,v New Zealand,Jaipur,1-Dec-10
R Ashwin (INDIA),10,0,52,1,5.2,1,v New Zealand,Jaipur,1-Dec-10
Yuvraj Singh (INDIA),9,1,48,0,5.33,1,v New Zealand,Jaipur,1-Dec-10
YK Pathan (INDIA),4,0,23,1,5.75,1,v New Zealand,Jaipur,1-Dec-10
SK Raina (INDIA),1,0,4,0,4,1,v New Zealand,Jaipur,1-Dec-10
V Kohli (INDIA),DNB,-,-,-,-,1,v New Zealand,Jaipur,1-Dec-10
WP Saha (INDIA),DNB,-,-,-,-,1,v New Zealand,Jaipur,1-Dec-10
G Gambhir (INDIA),DNB,-,-,-,-,1,v New Zealand,Jaipur,1-Dec-10
M Vijay (INDIA),DNB,-,-,-,-,1,v New Zealand,Jaipur,1-Dec-10
NL McCullum (NZ),9,0,37,0,4.11,2,v India,Jaipur,1-Dec-10
KD Mills (NZ),7,0,49,0,7,2,v India,Jaipur,1-Dec-10
AJ McKay (NZ),7,0,59,1,8.42,2,v India,Jaipur,1-Dec-10
SB Styris (NZ),3,0,20,0,6.66,2,v India,Jaipur,1-Dec-10
DL Vettori (NZ),8,0,32,1,4,2,v India,Jaipur,1-Dec-10
TG Southee (NZ),5,0,33,0,6.6,2,v India,Jaipur,1-Dec-10
KS Williamson (NZ),4,0,29,0,7.25,2,v India,Jaipur,1-Dec-10
JM How (NZ),DNB,-,-,-,-,2,v India,Jaipur,1-Dec-10
MJ Guptill (NZ),DNB,-,-,-,-,2,v India,Jaipur,1-Dec-10
GJ Hopkins (NZ),DNB,-,-,-,-,2,v India,Jaipur,1-Dec-10
LRPL Taylor (NZ),DNB,-,-,-,-,2,v India,Jaipur,1-Dec-10
Mashrafe Mortaza (BDESH),3,0,17,0,5.66,1,v Zimbabwe,Dhaka,3-Dec-10
Shafiul Islam (BDESH),5,0,28,1,5.6,1,v Zimbabwe,Dhaka,3-Dec-10
Abdur Razzak (BDESH),9.2,2,30,5,3.21,1,v Zimbabwe,Dhaka,3-Dec-10
Shakib Al Hasan (BDESH),9,0,39,4,4.33,1,v Zimbabwe,Dhaka,3-Dec-10
Naeem Islam (BDESH),10,1,27,0,2.7,1,v Zimbabwe,Dhaka,3-Dec-10
Sohrawordi Shuvo (BDESH),10,0,47,0,4.7,1,v Zimbabwe,Dhaka,3-Dec-10
Junaid Siddique (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,3-Dec-10
Tamim Iqbal (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,3-Dec-10
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,3-Dec-10
Raqibul Hasan (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,3-Dec-10
Imrul Kayes (BDESH),DNB,-,-,-,-,1,v Zimbabwe,Dhaka,3-Dec-10
P Utseya (ZIM),8,0,50,0,6.25,2,v Bangladesh,Dhaka,3-Dec-10
CB Mpofu (ZIM),7,0,31,1,4.42,2,v Bangladesh,Dhaka,3-Dec-10
KO Meth (ZIM),4.4,0,32,0,6.85,2,v Bangladesh,Dhaka,3-Dec-10
RW Price (ZIM),9,1,41,2,4.55,2,v Bangladesh,Dhaka,3-Dec-10
KM Dabengwa (ZIM),7,0,17,1,2.42,2,v Bangladesh,Dhaka,3-Dec-10
CJ Chibhabha (ZIM),2,0,11,0,5.5,2,v Bangladesh,Dhaka,3-Dec-10
BRM Taylor (ZIM),2,0,10,0,5,2,v Bangladesh,Dhaka,3-Dec-10
CR Ervine (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,3-Dec-10
E Chigumbura (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,3-Dec-10
RW Chakabva (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,3-Dec-10
T Taibu (ZIM),DNB,-,-,-,-,2,v Bangladesh,Dhaka,3-Dec-10
Z Khan (INDIA),8,2,31,2,3.87,1,v New Zealand,Vadodara,4-Dec-10
A Nehra (INDIA),8,1,38,0,4.75,1,v New Zealand,Vadodara,4-Dec-10
MM Patel (INDIA),10,0,28,1,2.8,1,v New Zealand,Vadodara,4-Dec-10
R Ashwin (INDIA),9,1,49,2,5.44,1,v New Zealand,Vadodara,4-Dec-10
YK Pathan (INDIA),8,0,27,2,3.37,1,v New Zealand,Vadodara,4-Dec-10
RA Jadeja (INDIA),7,0,40,0,5.71,1,v New Zealand,Vadodara,4-Dec-10
WP Saha (INDIA),DNB,-,-,-,-,1,v New Zealand,Vadodara,4-Dec-10
Yuvraj Singh (INDIA),DNB,-,-,-,-,1,v New Zealand,Vadodara,4-Dec-10
M Vijay (INDIA),DNB,-,-,-,-,1,v New Zealand,Vadodara,4-Dec-10
G Gambhir (INDIA),DNB,-,-,-,-,1,v New Zealand,Vadodara,4-Dec-10
V Kohli (INDIA),DNB,-,-,-,-,1,v New Zealand,Vadodara,4-Dec-10
KD Mills (NZ),6,0,39,0,6.5,2,v India,Vadodara,4-Dec-10
AJ McKay (NZ),6.3,0,42,0,6.46,2,v India,Vadodara,4-Dec-10
JEC Franklin (NZ),4,0,34,0,8.5,2,v India,Vadodara,4-Dec-10
DL Vettori (NZ),9,0,41,0,4.55,2,v India,Vadodara,4-Dec-10
NL McCullum (NZ),8,0,36,0,4.5,2,v India,Vadodara,4-Dec-10
SB Styris (NZ),6,0,32,0,5.33,2,v India,Vadodara,4-Dec-10
BB McCullum (NZ),DNB,-,-,-,-,2,v India,Vadodara,4-Dec-10
MJ Guptill (NZ),DNB,-,-,-,-,2,v India,Vadodara,4-Dec-10
GJ Hopkins (NZ),DNB,-,-,-,-,2,v India,Vadodara,4-Dec-10
KS Williamson (NZ),DNB,-,-,-,-,2,v India,Vadodara,4-Dec-10
LRPL Taylor (NZ),DNB,-,-,-,-,2,v India,Vadodara,4-Dec-10
CB Mpofu (ZIM),10,1,55,1,5.5,1,v Bangladesh,Dhaka,6-Dec-10
SW Masakadza (ZIM),8,0,34,1,4.25,1,v Bangladesh,Dhaka,6-Dec-10
CJ Chibhabha (ZIM),2,0,11,0,5.5,1,v Bangladesh,Dhaka,6-Dec-10
RW Price (ZIM),10,1,41,1,4.1,1,v Bangladesh,Dhaka,6-Dec-10
P Utseya (ZIM),10,0,38,4,3.8,1,v Bangladesh,Dhaka,6-Dec-10
AG Cremer (ZIM),6,0,36,0,6,1,v Bangladesh,Dhaka,6-Dec-10
BRM Taylor (ZIM),4,0,22,0,5.5,1,v Bangladesh,Dhaka,6-Dec-10
H Masakadza (ZIM),DNB,-,-,-,-,1,v Bangladesh,Dhaka,6-Dec-10
RW Chakabva (ZIM),DNB,-,-,-,-,1,v Bangladesh,Dhaka,6-Dec-10
T Taibu (ZIM),DNB,-,-,-,-,1,v Bangladesh,Dhaka,6-Dec-10
CR Ervine (ZIM),DNB,-,-,-,-,1,v Bangladesh,Dhaka,6-Dec-10
Mashrafe Mortaza (BDESH),10,1,20,1,2,2,v Zimbabwe,Dhaka,6-Dec-10
Shafiul Islam (BDESH),9.1,0,43,4,4.69,2,v Zimbabwe,Dhaka,6-Dec-10
Abdur Razzak (BDESH),10,2,14,4,1.4,2,v Zimbabwe,Dhaka,6-Dec-10
Shakib Al Hasan (BDESH),9,0,57,1,6.33,2,v Zimbabwe,Dhaka,6-Dec-10
Sohrawordi Shuvo (BDESH),10,0,39,0,3.9,2,v Zimbabwe,Dhaka,6-Dec-10
Raqibul Hasan (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,6-Dec-10
Naeem Islam (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,6-Dec-10
Imrul Kayes (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,6-Dec-10
Junaid Siddique (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,6-Dec-10
Tamim Iqbal (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,6-Dec-10
Mushfiqur Rahim (BDESH),DNB,-,-,-,-,2,v Zimbabwe,Dhaka,6-Dec-10
Z Khan (INDIA),8,0,40,0,5,1,v New Zealand,Bengaluru,7-Dec-10
P Kumar (INDIA),7,0,42,0,6,1,v New Zealand,Bengaluru,7-Dec-10
R Ashwin (INDIA),10,0,66,2,6.6,1,v New Zealand,Bengaluru,7-Dec-10
A Nehra (INDIA),9,1,70,2,7.77,1,v New Zealand,Bengaluru,7-Dec-10
Yuvraj Singh (INDIA),3,0,21,0,7,1,v New Zealand,Bengaluru,7-Dec-10
YK Pathan (INDIA),9,0,49,3,5.44,1,v New Zealand,Bengaluru,7-Dec-10
RG Sharma (INDIA),4,0,19,0,4.75,1,v New Zealand,Bengaluru,7-Dec-10
G Gambhir (INDIA),DNB,-,-,-,-,1,v New Zealand,Bengaluru,7-Dec-10
SS Tiwary (INDIA),DNB,-,-,-,-,1,v New Zealand,Bengaluru,7-Dec-10
V Kohli (INDIA),DNB,-,-,-,-,1,v New Zealand,Bengaluru,7-Dec-10
PA Patel (INDIA),DNB,-,-,-,-,1,v New Zealand,Bengaluru,7-Dec-10
KD Mills (NZ),10,1,65,0,6.5,2,v India,Bengaluru,7-Dec-10
TG Southee (NZ),10,0,64,1,6.4,2,v India,Bengaluru,7-Dec-10
AJ McKay (NZ),7,0,63,2,9,2,v India,Bengaluru,7-Dec-10
NL McCullum (NZ),7.5,0,38,2,4.85,2,v India,Bengaluru,7-Dec-10
SB Styris (NZ),4,1,27,0,6.75,2,v India,Bengaluru,7-Dec-10
DL Vettori (NZ),10,0,57,0,5.7,2,v India,Bengaluru,7-Dec-10
LRPL Taylor (NZ),DNB,-,-,-,-,2,v India,Bengaluru,7-Dec-10
JM How (NZ),DNB,-,-,-,-,2,v India,Bengaluru,7-Dec-10
BB McCullum (NZ),DNB,-,-,-,-,2,v India,Bengaluru,7-Dec-10
JEC Franklin (NZ),DNB,-,-,-,-,2,v India,Bengaluru,7-Dec-10
MJ Guptill (NZ),DNB,-,-,-,-,2,v India,Bengaluru,7-Dec-10
P Kumar (INDIA),6,1,20,1,3.33,1,v New Zealand,Chennai,10-Dec-10
A Nehra (INDIA),5,0,34,2,6.8,1,v New Zealand,Chennai,10-Dec-10
MM Patel (INDIA),3,0,9,0,3,1,v New Zealand,Chennai,10-Dec-10
R Ashwin (INDIA),8,1,24,3,3,1,v New Zealand,Chennai,10-Dec-10
Yuvraj Singh (INDIA),2,0,5,2,2.5,1,v New Zealand,Chennai,10-Dec-10
YK Pathan (INDIA),3,0,11,2,3.66,1,v New Zealand,Chennai,10-Dec-10
SS Tiwary (INDIA),DNB,-,-,-,-,1,v New Zealand,Chennai,10-Dec-10
RG Sharma (INDIA),DNB,-,-,-,-,1,v New Zealand,Chennai,10-Dec-10
PA Patel (INDIA),DNB,-,-,-,-,1,v New Zealand,Chennai,10-Dec-10
V Kohli (INDIA),DNB,-,-,-,-,1,v New Zealand,Chennai,10-Dec-10
G Gambhir (INDIA),DNB,-,-,-,-,1,v New Zealand,Chennai,10-Dec-10
NL McCullum (NZ),6,1,26,1,4.33,2,v India,Chennai,10-Dec-10
DL Vettori (NZ),6,0,30,1,5,2,v India,Chennai,10-Dec-10
SB Styris (NZ),4,0,7,0,1.75,2,v India,Chennai,10-Dec-10
KD Mills (NZ),1,0,15,0,15,2,v India,Chennai,10-Dec-10
GD Elliott (NZ),4.1,0,27,0,6.48,2,v India,Chennai,10-Dec-10
TG Southee (NZ),DNB,-,-,-,-,2,v India,Chennai,10-Dec-10
LRPL Taylor (NZ),DNB,-,-,-,-,2,v India,Chennai,10-Dec-10
