Date,Player,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Runs_only,Not_Outs
2009-01-16,Mohammad Ashraful (BDESH),13,30,25,2,0,52,1,v Sri Lanka,Dhaka,13,0
2009-01-16,Shakib Al Hasan (BDESH),9,37,16,2,0,56.25,1,v Sri Lanka,Dhaka,9,0
2009-01-16,Raqibul Hasan (BDESH),43*,127,107,1,0,40.18,1,v Sri Lanka,Dhaka,43*,1
2009-01-16,Mahmudullah (BDESH),26,46,36,2,1,72.22,1,v Sri Lanka,Dhaka,26,0
2009-01-16,Naeem Islam (BDESH),21,46,50,2,0,42,1,v Sri Lanka,Dhaka,21,0
2009-01-16,Mashrafe Mortaza (BDESH),0,2,2,0,0,0,1,v Sri Lanka,Dhaka,0,0
2009-01-16,Nazmul Hossain (BDESH),0,1,2,0,0,0,1,v Sri Lanka,Dhaka,0,0
2009-01-16,Rubel Hossain (BDESH),0,3,6,0,0,0,1,v Sri Lanka,Dhaka,0,0
2009-01-16,WU Tharanga (SL),2,25,16,0,0,12.5,2,v Bangladesh,Dhaka,2,0
2009-01-16,ST Jayasuriya (SL),0,1,0,0,0,-,2,v Bangladesh,Dhaka,0,0
2009-01-16,KC Sangakkara (SL),59,189,133,6,0,44.36,2,v Bangladesh,Dhaka,59,0
2009-01-16,DPMD Jayawardene (SL),0,1,2,0,0,0,2,v Bangladesh,Dhaka,0,0
2009-01-16,CK Kapugedera (SL),1,4,3,0,0,33.33,2,v Bangladesh,Dhaka,1,0
2009-01-16,T Thushara (SL),1,8,9,0,0,11.11,2,v Bangladesh,Dhaka,1,0
2009-01-16,J Mubarak (SL),16,65,32,2,0,50,2,v Bangladesh,Dhaka,16,0
2009-01-16,MF Maharoof (SL),38*,106,76,0,2,50,2,v Bangladesh,Dhaka,38*,1
2009-01-16,KMDN Kulasekara (SL),0,1,2,0,0,0,2,v Bangladesh,Dhaka,0,0
2009-01-16,M Muralitharan (SL),33*,21,16,4,2,206.25,2,v Bangladesh,Dhaka,33*,1
2009-01-16,SE Marsh (AUS),79,148,97,4,1,81.44,1,v South Africa,Melbourne,79,0
2009-01-16,MEK Hussey (AUS),6,9,11,1,0,54.54,1,v South Africa,Melbourne,6,0
2009-01-16,RT Ponting (AUS),46,71,54,5,0,85.18,1,v South Africa,Melbourne,46,0
2009-01-16,MJ Clarke (AUS),19,39,38,1,0,50,1,v South Africa,Melbourne,19,0
2009-01-16,DJ Hussey (AUS),52,63,50,5,0,104,1,v South Africa,Melbourne,52,0
2009-01-16,CL White (AUS),21,31,24,2,0,87.5,1,v South Africa,Melbourne,21,0
2009-01-16,BJ Haddin (AUS),19,19,12,2,0,158.33,1,v South Africa,Melbourne,19,0
2009-01-16,JR Hopes (AUS),2,9,4,0,0,50,1,v South Africa,Melbourne,2,0
2009-01-16,NW Bracken (AUS),12*,10,8,1,0,150,1,v South Africa,Melbourne,12*,1
2009-01-16,BW Hilfenhaus (AUS),1*,5,2,0,0,50,1,v South Africa,Melbourne,1*,1
2009-01-16,HH Gibbs (SA),22,32,28,3,0,78.57,2,v Australia,Melbourne,22,0
2009-01-16,HM Amla (SA),1,4,3,0,0,33.33,2,v Australia,Melbourne,1,0
2009-01-16,JH Kallis (SA),41,70,49,4,0,83.67,2,v Australia,Melbourne,41,0
2009-01-16,JP Duminy (SA),71,131,93,0,0,76.34,2,v Australia,Melbourne,71,0
2009-01-16,ND McKenzie (SA),63,105,80,6,0,78.75,2,v Australia,Melbourne,63,0
