,Player_Name,Country,Runs,Mins,BF,4s,6s,SR,Inns,Oppn,Ground,Date
101,S Matsikenyeri ,ZIM,15,59,29,1,0,51.72,2,v Sri Lanka,Dhaka,12 Jan 2009
102,T Taibu ,ZIM,9,16,20,1,0,45.00,2,v Sri Lanka,Dhaka,12 Jan 2009
103,SC Williams ,ZIM,8,23,15,1,0,53.33,2,v Sri Lanka,Dhaka,12 Jan 2009
104,P Utseya ,ZIM,8,23,16,1,0,50.00,2,v Sri Lanka,Dhaka,12 Jan 2009
105,KM Dabengwa ,ZIM,6,19,12,1,0,50.00,2,v Sri Lanka,Dhaka,12 Jan 2009
106,E Chigumbura ,ZIM,6,24,25,0,0,24.00,2,v Sri Lanka,Dhaka,12 Jan 2009
107,RW Price ,ZIM,2,6,5,0,0,40.00,2,v Sri Lanka,Dhaka,12 Jan 2009
108,T Mupariwa ,ZIM,0,11,9,0,0,0.00,2,v Sri Lanka,Dhaka,12 Jan 2009
109,EC Rainsford ,ZIM,0*,1,1,0,0,0.00,2,v Sri Lanka,Dhaka,12 Jan 2009
110,CH Gayle ,WI,135,175,129,9,5,104.65,1,v New Zealand,Napier,13 Jan 2009
111,S Chattergoon ,WI,1,10,6,0,0,16.66,1,v New Zealand,Napier,13 Jan 2009
112,RR Sarwan ,WI,22,66,43,1,0,51.16,1,v New Zealand,Napier,13 Jan 2009
113,S Chanderpaul ,WI,94,118,91,9,1,103.29,1,v New Zealand,Napier,13 Jan 2009
114,SE Findlay ,WI,3,5,3,0,0,100.00,1,v New Zealand,Napier,13 Jan 2009
115,KA Pollard ,WI,19,10,8,1,2,237.50,1,v New Zealand,Napier,13 Jan 2009
116,D Ramdin ,WI,9,14,11,1,0,81.81,1,v New Zealand,Napier,13 Jan 2009
117,DBL Powell ,WI,4,7,4,0,0,100.00,1,v New Zealand,Napier,13 Jan 2009
118,BP Nash ,WI,1*,4,1,0,0,100.00,1,v New Zealand,Napier,13 Jan 2009
119,FH Edwards ,WI,1,3,4,0,0,25.00,1,v New Zealand,Napier,13 Jan 2009
120,LS Baker ,WI,DNB,-,-,-,-,-,1,v New Zealand,Napier,13 Jan 2009
121,JD Ryder ,NZ,21,29,23,2,1,91.30,2,v West Indies,Napier,13 Jan 2009
122,BB McCullum ,NZ,41,56,28,6,1,146.42,2,v West Indies,Napier,13 Jan 2009
123,MJ Guptill ,NZ,43,60,39,4,1,110.25,2,v West Indies,Napier,13 Jan 2009
124,LRPL Taylor ,NZ,48*,107,71,3,0,67.60,2,v West Indies,Napier,13 Jan 2009
125,DR Flynn ,NZ,21,35,34,2,0,61.76,2,v West Indies,Napier,13 Jan 2009
126,NT Broom ,NZ,0,1,1,0,0,0.00,2,v West Indies,Napier,13 Jan 2009
127,GD Elliott ,NZ,14*,33,17,0,0,82.35,2,v West Indies,Napier,13 Jan 2009
